A_team,B_team,A_off,A_def,A_tempo,A_home,A_rest,A_injury,B_off,B_def,B_tempo,B_rest,B_injury,spread_line,total_line,ml_odds
Northwestern,Penn,118.206,105.175,0.793019,1,1,0,108.766,110.18,0.462951,1,0,-5.5,155.5,-310
Hofstra,Charleston,115.972,111.371,0.614329,1,1,0,108.565,109.802,0.46747,1,0,4.5,131.5,-400
Charleston Southern,Radford,104.71,110.243,0.35612,1,1,0,108.136,116.595,0.296054,1,0,12.5,158.5,900
Elon,William & Mary,115.002,116.107,0.472529,1,1,0,109.783,104.925,0.627258,1,0,4.5,167.5,205
Stonehill,Fairleigh Dickinson,92.0014,109.295,0.121225,1,1,0,101.432,118.781,0.13994,1,0,1.5,125.5,-140
Florida Gulf Coast,North Alabama,110.861,116.25,0.366826,1,1,0,100.722,120.102,0.116741,1,0,-13.5,144.5,-15000
Jacksonville,Lipscomb,101.841,113.878,0.216748,1,1,0,107.843,107.923,0.497856,1,0,-9.5,139.5,-1500
LIU,Le Moyne,106.572,111.15,0.381373,1,1,0,105.476,113.269,0.305812,1,0,16.5,159.5,-50000
South Carolina,Longwood,114.198,104.029,0.745092,1,1,0,104.35,114.028,0.265033,1,0,-1.5,125.5,-110
North Florida,Stetson,110.955,127.329,0.170367,1,1,0,102.512,116.499,0.186812,1,0,10.5,164.5,750
Campbell,Stony Brook,109.211,114.01,0.378815,1,1,0,105.947,110.147,0.390049,1,0,3.5,162.5,170
Troy,James Madison,115.726,109.685,0.649436,1,1,0,110.058,115.766,0.358585,1,0,0.5,131.5,-115
Vermont,UMBC,109.753,114.446,0.381889,1,1,0,106.166,114.274,0.300205,1,0,9.5,132.5,-3500
Drexel,Hampton,104.578,106.927,0.436499,1,1,0,102.728,111.521,0.28,1,0,-6.5,110.5,-475
Monmouth,North Carolina A&T,103.407,106.654,0.412037,1,1,0,104.899,116.287,0.234116,1,0,3.5,146.5,160
The Citadel,VMI,99.483,121.008,0.0951373,1,1,0,100.112,121.919,0.0939505,1,0,-14.5,136.5,-10000
Middle Tennessee,Liberty,109.662,104.117,0.644902,1,1,0,116.968,108.764,0.697672,1,0,-11.5,154.5,1100
Wagner,Central Connecticut,106.46,121.417,0.180671,1,1,0,106.987,120.482,0.203246,1,0,-6.5,130.5,280
Northern Arizona,Eastern Washington,104.659,117.735,0.205246,1,1,0,109.248,113.501,0.391918,1,0,7.5,159.5,-345
Louisiana,Georgia,97.2741,111.311,0.175073,1,1,0,121.622,102.091,0.882168,1,0,3.5,134.5,-196
Abilene Christian,Utah Tech,103.19,110.128,0.321198,1,1,0,108.878,112.177,0.415014,1,0,2.5,147.5,124
Northwestern,Penn,118.206,105.175,0.793019,1,1,0,108.766,110.18,0.462951,1,0,-5.5,154.5,-315
Memphis,Florida Atlantic,105.621,98.9525,0.679185,1,1,0,113.637,104.131,0.731977,1,0,3.5,149.5,-215
South Dakota,Oral Roberts,108.203,118.126,0.267176,1,1,0,100.021,115.216,0.16431,1,0,3.5,149.5,-225
St. Thomas,North Dakota,112.787,107.609,0.631918,1,1,0,106.829,115.9,0.281461,1,0,7.5,160.5,-395
Southern Indiana,Lindenwood,94.9117,110.53,0.147809,1,1,0,102.857,109.221,0.333954,1,0,-5.0,151.0,195
High Point,Presbyterian,118.622,110.687,0.68915,1,1,0,103.367,113.082,0.262503,1,0,-14.5,149.5,-1500
Towson,UNC Wilmington,101.265,104.509,0.41031,1,1,0,109.513,108.135,0.53634,1,0,-1.0,135.0,-120
Illinois,Washington,131.281,99.3483,0.961027,1,1,0,116.46,101.311,0.83238,1,0,-12.5,153.0,-950
Portland,Montana,106.97,107.406,0.488313,1,1,0,109.336,106.543,0.573856,1,0,5.0,144.0,-215
UC San Diego,UC Santa Barbara,112.611,106.708,0.650018,1,1,0,117.284,114.114,0.578134,1,0,-3.5,145.0,-162
